Date,AAPL,AMZN,BAC,CAT,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,TSLA,UNH,WMT,XOM
2019-05-14,45.16947555541992,92.00599670410156,24.275432586669922,110.53093719482422,55.821231842041016,113.13900756835938,91.68724822998047,39.602970123291016,179.47630310058594,117.2016372680664,4.021435260772705,15.487333297729492,211.6372528076172,30.433956146240234,55.997920989990234
2019-05-15,45.710567474365234,93.55750274658203,23.995525360107422,110.38353729248047,58.10100555419922,113.21343994140625,91.33819580078125,40.00152587890625,184.9778594970703,118.85209655761719,3.960385322570801,15.463333129882812,211.3239288330078,30.309528350830078,56.41157531738281
2019-05-16,45.50945281982422,95.37850189208984,24.249984741210938,109.78522491455078,58.78086471557617,114.28841400146484,92.50999450683594,40.32687759399414,185.69285583496094,121.59657287597656,3.9755234718322754,15.222000122070312,211.95945739746094,30.743484497070312,56.40419006347656
2019-05-17,45.25086212158203,93.44999694824219,24.088830947875977,106.44683074951172,58.000762939453125,114.6191635131836,92.06124877929688,40.01780319213867,184.01458740234375,120.78549194335938,3.8846919536590576,14.0686674118042,216.06817626953125,30.606924057006836,56.0717887878418
2019-05-20,43.835880279541016,92.94850158691406,24.088830947875977,106.16069030761719,56.803810119628906,114.46207427978516,92.54326629638672,39.73311233520508,181.45248413085938,119.04073333740234,3.7660634517669678,13.690667152404785,220.19471740722656,30.80720329284668,56.06439971923828
2019-05-21,44.67626190185547,92.8759994506836,24.334814071655273,108.3458023071289,57.28914260864258,114.21399688720703,92.85911560058594,39.52978515625,183.5379180908203,119.68203735351562,3.8482093811035156,13.67199993133545,223.73049926757812,30.68583106994629,56.32294845581055
2019-05-22,43.761661529541016,92.98400115966797,24.16516876220703,107.14051818847656,57.359107971191406,114.74321746826172,92.1028060913086,40.38381576538086,184.0344696044922,120.40824127197266,3.777231216430664,12.84866714477539,223.1934814453125,31.022661209106445,55.813270568847656
2019-05-23,43.01466369628906,90.77400207519531,23.54598617553711,106.01325988769531,56.83755111694336,115.59494018554688,90.29097747802734,40.54649353027344,179.6153106689453,119.00299835205078,3.6561217308044434,13.03266716003418,220.65127563476562,30.910388946533203,54.505828857421875
2019-05-24,42.84947204589844,91.16400146484375,23.902223587036133,106.56822204589844,56.503570556640625,115.60323333740234,91.18028259277344,40.35128402709961,179.80401611328125,119.05956268310547,3.602267265319824,12.708666801452637,221.66278076171875,31.156177520751953,54.73481369018555
2019-05-28,42.67227554321289,91.82150268554688,23.66472625732422,105.43231201171875,56.550716400146484,114.12127685546875,90.19126892089844,39.936466217041016,183.03147888183594,118.984130859375,3.5571000576019287,12.579999923706055,216.67686462402344,31.080324172973633,53.63420486450195
2019-05-29,42.468772888183594,90.95950317382812,23.537498474121094,105.33692169189453,55.57707595825195,109.34228515625,89.94193267822266,39.53791427612305,180.9261932373047,117.8335189819336,3.4828946590423584,12.657333374023438,216.98117065429688,30.989286422729492,53.30181884765625
2019-05-30,42.689048767089844,90.81600189208984,23.037063598632812,105.6490707397461,55.650020599365234,109.99169921875,88.97783660888672,40.0584602355957,181.740478515625,118.5785903930664,3.456310749053955,12.54800033569336,217.96585083007812,31.010522842407227,53.161476135253906
2019-05-31,41.91572570800781,88.75350189208984,22.562070846557617,103.88882446289062,54.91011428833008,109.19241333007812,88.0636215209961,39.960853576660156,176.23890686035156,116.64519500732422,3.3656227588653564,12.343999862670898,216.44410705566406,30.782920837402344,52.27507781982422
2019-06-03,41.49193572998047,84.6344985961914,22.629928588867188,104.61722564697266,51.547515869140625,109.43388366699219,88.47918701171875,40.65222930908203,163.0113067626953,113.02360534667969,3.3238813877105713,11.9313325881958,211.7535858154297,30.94072914123535,53.09498596191406
2019-06-04,43.0098762512207,86.47799682617188,23.681697845458984,105.8572006225586,52.32910919189453,111.3404769897461,91.20521545410156,40.66850280761719,166.3380584716797,116.15477752685547,3.5529608726501465,12.90666675567627,215.51319885253906,31.12281036376953,54.35810852050781
2019-06-05,43.70419692993164,86.92500305175781,23.673213958740234,106.75900268554688,51.84030532836914,111.88164520263672,91.52933502197266,41.30292892456055,167.00341796875,118.67288970947266,3.510225772857666,13.105999946594238,217.3123779296875,31.687246322631836,53.90751647949219
2019-06-06,44.34585952758789,87.71800231933594,23.775548934936523,106.99309539794922,51.99514389038086,113.79656982421875,91.72879791259766,41.80721664428711,167.1623077392578,120.54969787597656,3.572340488433838,13.729999542236328,216.46202087402344,31.896623611450195,54.889930725097656
2019-06-07,45.526206970214844,90.20149993896484,23.477073669433594,107.92091369628906,53.01791000366211,115.35347747802734,90.72315979003906,41.88041305541992,172.1475067138672,123.92610168457031,3.6150755882263184,13.633333206176758,220.8929443359375,32.18491744995117,55.08937454223633
2019-06-10,46.10800552368164,93.03150177001953,23.937580108642578,109.03082275390625,53.73202133178711,115.74478912353516,91.7038803100586,41.79094696044922,173.6072998046875,125.05781555175781,3.6878743171691895,14.192000389099121,222.1193084716797,32.62795639038086,55.3331298828125
2019-06-11,46.64192199707031,93.18499755859375,24.082542419433594,110.36618041992188,53.64666748046875,116.3775405883789,91.98644256591797,41.750282287597656,176.86456298828125,124.58627319335938,3.7455170154571533,14.473333358764648,220.08731079101562,32.75541687011719,55.28141784667969
2019-06-12,46.49346923828125,92.76599884033203,23.835235595703125,110.2101058959961,53.550392150878906,117.95945739746094,90.81456756591797,42.00242233276367,173.8257598876953,124.0109634399414,3.632467269897461,13.950667381286621,218.86099243164062,33.0224494934082,54.68312072753906
2019-06-13,46.483890533447266,93.51499938964844,23.82671356201172,110.27081298828125,54.141422271728516,117.15186309814453,91.03900146484375,41.91225814819336,176.23890686035156,124.79378509521484,3.683650255203247,14.260666847229004,219.27276611328125,32.97087478637695,55.16324996948242
2019-06-14,46.146305084228516,93.4834976196289,23.9119930267334,110.32280731201172,53.907684326171875,116.63567352294922,91.27169036865234,42.0598030090332,180.0721435546875,124.9163589477539,3.5937082767486572,14.32800006866455,220.6123809814453,33.09832763671875,54.91948318481445
2019-06-17,46.42164993286133,94.30149841308594,23.81818962097168,110.40084838867188,54.284339904785156,116.09451293945312,90.77303314208984,41.69912338256836,187.69886779785156,125.29361724853516,3.603397846221924,15.001999855041504,221.15187072753906,33.12562942504883,55.466087341308594
2019-06-18,47.51342010498047,95.06849670410156,24.406606674194336,113.0108642578125,54.847591400146484,116.75221252441406,92.0113754272461,41.51059341430664,187.16261291503906,127.47222900390625,3.7984378337860107,14.982666969299316,220.9091339111328,33.27432632446289,55.94622039794922
2019-06-19,47.374549865722656,95.43949890136719,24.150766372680664,113.2536392211914,54.81135559082031,116.93537902832031,91.34649658203125,41.90404510498047,186.17950439453125,127.97209930419922,3.80440092086792,15.095333099365234,224.9460906982422,33.265228271484375,55.635986328125
2019-06-20,47.75523376464844,95.90950012207031,24.10813331604004,115.87235260009766,55.24259948730469,118.40071105957031,91.5792007446289,42.346710205078125,188.21527099609375,129.16043090820312,3.8287501335144043,14.641332626342773,222.76124572753906,33.47765350341797,56.58885955810547
2019-06-21,47.59242248535156,95.56500244140625,23.9802188873291,116.0978012084961,55.846534729003906,118.30082702636719,90.95587158203125,42.25654220581055,189.81407165527344,129.1792449951172,3.770610809326172,14.790666580200195,226.8251953125,33.723453521728516,57.38660430908203
2019-06-24,47.5445442199707,95.69499969482422,23.860822677612305,116.51400756835938,55.416290283203125,119.1084213256836,90.30762481689453,42.55982971191406,191.26397705078125,129.9431915283203,3.79297137260437,14.909333229064941,224.4515838623047,33.7568244934082,56.84000778198242
2019-06-25,46.82387924194336,93.91349792480469,23.673213958740234,115.94173431396484,53.97121047973633,120.09087371826172,89.55961608886719,42.42866516113281,187.53005981445312,125.84061431884766,3.7636537551879883,14.650667190551758,222.6713409423828,33.59903335571289,56.33771514892578
2019-06-26,47.83662796020508,94.8915023803711,23.801128387451172,117.1903305053711,53.61092758178711,118.10098266601562,90.15802001953125,41.90404510498047,186.3582305908203,126.31211853027344,3.9569544792175293,14.618000030517578,218.9041290283203,33.42909622192383,56.58146667480469
2019-06-27,47.82228088378906,95.21399688720703,24.056962966918945,117.49384307861328,53.42781448364258,117.13520812988281,90.45722961425781,41.87126922607422,188.18548583984375,126.51962280273438,4.0555925369262695,14.855999946594238,221.4845428466797,33.410892486572266,56.00531005859375
2019-06-28,47.38652038574219,94.68150329589844,24.73065948486328,118.17884826660156,53.73400115966797,115.96128845214844,92.91726684570312,41.74011993408203,191.6611785888672,126.3404769897461,4.080438137054443,14.897333145141602,219.38961791992188,33.52924346923828,56.603641510009766
2019-07-01,48.25563049316406,96.1094970703125,25.08882713317871,118.44769287109375,54.58755111694336,116.02787780761719,94.47975158691406,42.29751968383789,191.6611785888672,127.962646484375,4.1286396980285645,15.14466667175293,218.15786743164062,33.568687438964844,56.55192947387695
2019-07-02,48.538143157958984,96.71549987792969,24.858579635620117,117.79734802246094,55.21282958984375,116.5857162475586,94.5794906616211,42.6090087890625,193.64730834960938,128.81143188476562,4.030747890472412,14.970000267028809,219.3536376953125,33.86608123779297,55.93144607543945
2019-07-03,48.94038391113281,96.94999694824219,24.773300170898438,117.5718994140625,55.72843551635742,118.34243774414062,94.4288330078125,42.707374572753906,195.83204650878906,129.64141845703125,4.043666362762451,15.65999984741211,220.4685516357422,34.08456039428711,56.463287353515625
2019-07-05,48.897274017333984,97.14550018310547,24.95237922668457,117.48517608642578,56.20880126953125,117.03530883789062,94.98959350585938,42.715579986572266,195.03759765625,129.26414489746094,3.98105525970459,15.539999961853027,222.06898498535156,33.98139190673828,56.234283447265625
2019-07-08,47.88930892944336,97.61599731445312,24.901216506958008,116.92156219482422,55.420753479003906,117.36833190917969,94.47066497802734,42.62540817260742,194.40203857421875,129.1698455810547,3.9060206413269043,15.355999946594238,222.83316040039062,34.20594787597656,56.49283218383789
2019-07-09,48.1814079284668,99.41500091552734,25.029136657714844,116.44461822509766,55.79294967651367,117.73465728759766,94.8724365234375,42.28932571411133,197.828125,128.69830322265625,3.908505439758301,15.337332725524902,221.1787872314453,34.25450897216797,56.455902099609375
2019-07-10,48.65785598754883,100.87049865722656,24.747718811035156,115.01387023925781,56.61771774291992,117.5681381225586,94.59622955322266,42.47786331176758,201.3236846923828,130.00921630859375,3.9768309593200684,15.928000450134277,222.5094757080078,34.28485107421875,57.2536506652832
